pollster,sample,sample_2,candidate,points,poll_start,poll_end
CZogby Interactive/JZ Analytics,410,Likely Voters,warren,5,2019-06-06,2019-06-10
B-Morning Consult,13551,Likely Voters,gillibrand,1,2019-06-06,2019-06-10
AFox News,469,Likely Voters,moulton,0,2019-06-06,2019-06-10
A+Monmouth University,330,Registered Voters,booker,2,2019-06-06,2019-06-10
B-Morning Consult,13644,Likely Voters,biden,32,2019-06-06,2019-06-10
C+Change Research,1420,Likely Voters,bullock,0,2019-06-06,2019-06-10
A-CNN/SSRS,412,Registered Voters,warren,7,2019-06-06,2019-06-10
B+Ipsos,2271,Registered Voters,klobuchar,2,2019-06-06,2019-06-10
B+Emerson College,320,Likely Voters,o_rourke,15,2019-06-06,2019-06-10
C+Harris Interactive,471,Registered Voters,buttigieg,5,2019-06-06,2019-06-10
AFox News,403,Likely Voters,harris,8,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,ryan,1,2019-06-06,2019-06-10
C+HarrisX,431,Registered Voters,bennet,1,2019-06-06,2019-06-10
C+Harris Interactive,459,Registered Voters,avenatti,1,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,2196,Likely Voters,gabbard,1,2019-06-06,2019-06-10
D-CYFOR,453,Registered Voters,buttigieg,0,2019-06-06,2019-06-10
BYouGov,550,Adults,gillibrand,0,2019-06-06,2019-06-10
BYouGov,500,Registered Voters,gravel,0,2019-06-06,2019-06-10
B+Ipsos,2525,Adults,messam,0,2019-06-06,2019-06-10
C-McLaughlin & Associates,447,Likely Voters,klobuchar,1,2019-06-06,2019-06-10
B-Morning Consult,14830,Likely Voters,biden,39,2019-06-06,2019-06-10
C-McLaughlin & Associates,450,Likely Voters,warren,5,2019-06-06,2019-06-10
A-CNN/SSRS,424,Registered Voters,kerry,3,2019-06-06,2019-06-10
BYouGov,550,Adults,gravel,0,2019-06-06,2019-06-10
B-Morning Consult,699,Registered Voters,kerry,2,2019-06-06,2019-06-10
B-Morning Consult,12560,Likely Voters,booker,4,2019-06-06,2019-06-10
B-Morning Consult,13725,Likely Voters,gillibrand,1,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,gillibrand,1,2019-06-06,2019-06-10
B-Morning Consult,737,Registered Voters,bloomberg,2,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,o_rourke,6,2019-06-06,2019-06-10
B-Morning Consult,16587,Likely Voters,yang,1,2019-06-06,2019-06-10
A+ABC News/Washington Post,447,Adults,h_clinton,1,2019-06-06,2019-06-10
C-McLaughlin & Associates,447,Likely Voters,h_clinton,8,2019-06-06,2019-06-10
A+ABC News/Washington Post,447,Adults,o_rourke,3,2019-06-06,2019-06-10
C+HarrisX,440,Registered Voters,bennet,1,2019-06-06,2019-06-10
B+Ipsos,2271,Registered Voters,delaney,0,2019-06-06,2019-06-10
B-Morning Consult,685,Registered Voters,biden,33,2019-06-06,2019-06-10
B-Morning Consult,12940,Likely Voters,inslee,1,2019-06-06,2019-06-10
Echelon Insights,447,Registered Voters,ryan,0,2019-06-06,2019-06-10
AFox News,469,Likely Voters,yang,1,2019-06-06,2019-06-10
B+Ipsos,2271,Registered Voters,gravel,0,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,harris,37,2019-06-06,2019-06-10
C+Harris Interactive,263,Registered Voters,harris,5,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,gabbard,2,2019-06-06,2019-06-10
Echelon Insights,447,Registered Voters,hickenlooper,0,2019-06-06,2019-06-10
C+HarrisX,741,Registered Voters,hickenlooper,2,2019-06-06,2019-06-10
A+ABC News/Washington Post,427,Adults,klobuchar,1,2019-06-06,2019-06-10
B-Morning Consult,17012,Likely Voters,de_blasio,0,2019-06-06,2019-06-10
C+HarrisX,2207,Registered Voters,gabbard,0,2019-06-06,2019-06-10
AFox News,469,Likely Voters,gabbard,1,2019-06-06,2019-06-10
C+HarrisX,741,Registered Voters,klobuchar,1,2019-06-06,2019-06-10
B-Morning Consult,13725,Likely Voters,booker,4,2019-06-06,2019-06-10
Echelon Insights,447,Registered Voters,delaney,0,2019-06-06,2019-06-10
A-CNN/SSRS,424,Registered Voters,bloomberg,2,2019-06-06,2019-06-10
BGBAO,817,Likely Voters,klobuchar,2,2019-06-06,2019-06-10
B-Morning Consult,13644,Likely Voters,sanders,23,2019-06-06,2019-06-10
B-Morning Consult,12940,Likely Voters,gabbard,1,2019-06-06,2019-06-10
Echelon Insights,447,Registered Voters,bennet,1,2019-06-06,2019-06-10
C+HarrisX,2207,Registered Voters,ryan,1,2019-06-06,2019-06-10
C+Harris Interactive,259,Registered Voters,delaney,1,2019-06-06,2019-06-10
C-McLaughlin & Associates,468,Likely Voters,schultz,0,2019-06-06,2019-06-10
C+Harris Interactive,337,Registered Voters,bloomberg,3,2019-06-06,2019-06-10
B+Emerson College,355,Likely Voters,warren,3,2019-06-06,2019-06-10
BYouGov,550,Adults,castro,0,2019-06-06,2019-06-10
A-Quinnipiac University,559,Registered Voters,klobuchar,2,2019-06-06,2019-06-10
C+HarrisX,2207,Registered Voters,gillibrand,1,2019-06-06,2019-06-10
C+HarrisX,431,Registered Voters,harris,4,2019-06-06,2019-06-10
B-Morning Consult,733,Registered Voters,schultz,1,2019-06-06,2019-06-10
C+Harris Interactive,263,Registered Voters,bloomberg,1,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,gillibrand,1,2019-06-06,2019-06-10
B-Morning Consult,14830,Likely Voters,inslee,0,2019-06-06,2019-06-10
BGBAO,817,Likely Voters,gabbard,1,2019-06-06,2019-06-10
A-CNN/SSRS,424,Registered Voters,hickenlooper,0,2019-06-06,2019-06-10
A+Monmouth University,334,Registered Voters,harris,11,2019-06-06,2019-06-10
A-Quinnipiac University,454,Registered Voters,klobuchar,2,2019-06-06,2019-06-10
B-Morning Consult,694,Registered Voters,booker,4,2019-06-06,2019-06-10
B-Morning Consult,15770,Likely Voters,buttigieg,6,2019-06-06,2019-06-10
B-Morning Consult,12550,Likely Voters,hickenlooper,1,2019-06-06,2019-06-10
A+ABC News/Washington Post,447,Adults,brown,0,2019-06-06,2019-06-10
B-Morning Consult,13644,Likely Voters,yang,1,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,buttigieg,7,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,warren,10,2019-06-06,2019-06-10
Bold Blue Campaigns,500,Likely Voters,o_rourke,7,2019-06-06,2019-06-10
A-CNN/SSRS,424,Registered Voters,holder,1,2019-06-06,2019-06-10
C-McLaughlin & Associates,468,Likely Voters,kaine,0,2019-06-06,2019-06-10
C+Harris Interactive,346,Registered Voters,warren,4,2019-06-06,2019-06-10
C+Harris Interactive,273,Registered Voters,harris,11,2019-06-06,2019-06-10
B+Ipsos,2237,Adults,ryan,1,2019-06-06,2019-06-10
B-Morning Consult,15475,Likely Voters,warren,9,2019-06-06,2019-06-10
Echelon Insights,499,Registered Voters,williamson,0,2019-06-06,2019-06-10
C-McLaughlin & Associates,360,Likely Voters,bennet,1,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,williamson,0,2019-06-06,2019-06-10
B-Morning Consult,733,Registered Voters,patrick,0,2019-06-06,2019-06-10
D-CYFOR,453,Registered Voters,harris,8,2019-06-06,2019-06-10
B-Morning Consult,17012,Likely Voters,delaney,1,2019-06-06,2019-06-10
B+Ipsos,2271,Registered Voters,sanders,14,2019-06-06,2019-06-10
B+Ipsos,964,Registered Voters,bullock,0,2019-06-06,2019-06-10
A-Quinnipiac University,503,Registered Voters,biden,30,2019-06-06,2019-06-10
B-Morning Consult,15642,Likely Voters,warren,7,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,sanders,24,2019-06-06,2019-06-10
BYouGov,500,Registered Voters,messam,0,2019-06-06,2019-06-10
C-McLaughlin & Associates,468,Likely Voters,zuckerberg,0,2019-06-06,2019-06-10
B-Morning Consult,15342,Likely Voters,warren,8,2019-06-06,2019-06-10
C+Harris Interactive,471,Registered Voters,swalwell,0,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,sanders,36,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,holder,0,2019-06-06,2019-06-10
B-Morning Consult,4749,Likely Voters,klobuchar,2,2019-06-06,2019-06-10
B-Morning Consult,16368,Likely Voters,gillibrand,1,2019-06-06,2019-06-10
C+Harris Interactive,254,Registered Voters,biden,34,2019-06-06,2019-06-10
A+Monmouth University,330,Registered Voters,klobuchar,2,2019-06-06,2019-06-10
B-Morning Consult,14250,Likely Voters,brown,1,2019-06-06,2019-06-10
A-CNN/SSRS,412,Registered Voters,moulton,0,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,swalwell,0,2019-06-06,2019-06-10
C+Harris Interactive,273,Registered Voters,booker,3,2019-06-06,2019-06-10
B-Morning Consult,14381,Likely Voters,klobuchar,2,2019-06-06,2019-06-10
B-Morning Consult,15642,Likely Voters,delaney,1,2019-06-06,2019-06-10
C-McLaughlin & Associates,447,Likely Voters,gabbard,0,2019-06-06,2019-06-10
B+Ipsos,964,Registered Voters,sanders,14,2019-06-06,2019-06-10
B-Morning Consult,16368,Likely Voters,delaney,1,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,buttigieg,21,2019-06-06,2019-06-10
B-Morning Consult,12550,Likely Voters,warren,7,2019-06-06,2019-06-10
C+HarrisX,431,Registered Voters,gillibrand,0,2019-06-06,2019-06-10
B+Emerson College,429,Likely Voters,sanders,25,2019-06-06,2019-06-10
A+ABC News/Washington Post,447,Adults,booker,1,2019-06-06,2019-06-10
C+HarrisX,2207,Registered Voters,swalwell,0,2019-06-06,2019-06-10
